NM_MUNICIP,TEMP
Pennsylvania,7.37
Adams,7.93
Allegheny,6.32
Armstrong,4.92
Beaver,5.34
Bedford,5.24
Berks,4.17
Blair,1.92
Bradford,3.8
Bucks,5.38
Butler,4.57
Cambria,3.01
Cameron,3.16
Carbon,2.44
Centre,3.3
Chester,4.95
Clarion,3.85
Clearfield,3.47
Clinton,3.91
Columbia,4.44
Crawford,1.3
Cumberland,7.39
Dauphin,5.45
Delaware,6.19
Elk,2.43
Erie,0.26
Fayette,6.56
Forest,3.26
Franklin,8.33
Fulton,7.26
Greene,7.23
Huntingdon,4.14
Indiana,3.96
Jefferson,3.26
Juniata,5.8
Lackawanna,2.98
Lancaster,5.17
Lawrence,4.91
Lebanon,5.15
Lehigh,4.03
Luzerne,3.76
Lycoming,3.75
McKean,1.69
Mercer,3.36
Mifflin,4.55
Monroe,2.68
Montgomery,5.68
Montour,4.78
Northampton,4.37
Northumberland,5.29
Perry,6.38
Philadelphia,6.46
Pike,1.84
Potter,1.27
Schuylkill,3.65
Snyder,5.29
Somerset,2.65
Sullivan,2.55
Susquehanna,2.58
Tioga,3.17
Union,4.63
Venango,3.15
Warren,1.54
Washington,6.7
Wayne,1.37
Westmoreland,5.66
Wyoming,2.8
York,6.22
